#catalogue_i     catalogue_j     ell_i   ell_j  s_i     s_j      Cov^-1_ij
post-recon post-recon 0 0 1.325000e+02 5.250000e+01 3.414860e+03
post-recon post-recon 0 0 1.325000e+02 5.750000e+01 8.101114e+04
post-recon post-recon 0 0 1.325000e+02 6.250000e+01 -1.360302e+04
post-recon post-recon 0 0 1.325000e+02 6.750000e+01 9.615566e+04
post-recon post-recon 0 0 1.325000e+02 7.250000e+01 -6.284534e+04
post-recon post-recon 0 0 1.325000e+02 7.750000e+01 -6.889392e+04
post-recon post-recon 0 0 1.325000e+02 8.250000e+01 7.063385e+03
post-recon post-recon 0 0 1.325000e+02 8.750000e+01 -1.684991e+04
post-recon post-recon 0 0 1.325000e+02 9.250000e+01 -1.894162e+04
post-recon post-recon 0 0 1.325000e+02 9.750000e+01 -7.859887e+02
post-recon post-recon 0 0 1.325000e+02 1.025000e+02 7.063254e+04
post-recon post-recon 0 0 1.325000e+02 1.075000e+02 -3.212371e+05
post-recon post-recon 0 0 1.325000e+02 1.125000e+02 5.569271e+04
post-recon post-recon 0 0 1.325000e+02 1.175000e+02 -2.615049e+05
post-recon post-recon 0 0 1.325000e+02 1.225000e+02 -1.400727e+05
post-recon post-recon 0 0 1.325000e+02 1.275000e+02 -8.224984e+05
post-recon post-recon 0 0 1.325000e+02 1.325000e+02 3.365628e+06
post-recon post-recon 0 0 1.325000e+02 1.375000e+02 -5.474745e+05
post-recon post-recon 0 0 1.325000e+02 1.425000e+02 -5.040192e+05
post-recon post-recon 0 0 1.325000e+02 1.475000e+02 -1.800622e+05
post-recon post-recon 0 0 1.375000e+02 5.250000e+01 2.665092e+04
post-recon post-recon 0 0 1.375000e+02 5.750000e+01 -3.207548e+04
post-recon post-recon 0 0 1.375000e+02 6.250000e+01 3.469811e+04
post-recon post-recon 0 0 1.375000e+02 6.750000e+01 -4.007269e+03
post-recon post-recon 0 0 1.375000e+02 7.250000e+01 -2.509119e+03
post-recon post-recon 0 0 1.375000e+02 7.750000e+01 1.047164e+05
post-recon post-recon 0 0 1.375000e+02 8.250000e+01 2.222424e+04
post-recon post-recon 0 0 1.375000e+02 8.750000e+01 -5.098339e+04
post-recon post-recon 0 0 1.375000e+02 9.250000e+01 -7.730797e+04
post-recon post-recon 0 0 1.375000e+02 9.750000e+01 6.927455e+03
post-recon post-recon 0 0 1.375000e+02 1.025000e+02 -3.833833e+03
post-recon post-recon 0 0 1.375000e+02 1.075000e+02 8.206673e+04
post-recon post-recon 0 0 1.375000e+02 1.125000e+02 3.618875e+04
post-recon post-recon 0 0 1.375000e+02 1.175000e+02 -1.127120e+05
post-recon post-recon 0 0 1.375000e+02 1.225000e+02 -1.475344e+05
post-recon post-recon 0 0 1.375000e+02 1.275000e+02 -3.894543e+05
post-recon post-recon 0 0 1.375000e+02 1.325000e+02 -5.474745e+05
post-recon post-recon 0 0 1.375000e+02 1.375000e+02 3.200215e+06
post-recon post-recon 0 0 1.375000e+02 1.425000e+02 -1.111849e+06
post-recon post-recon 0 0 1.375000e+02 1.475000e+02 -3.465547e+05
post-recon post-recon 0 0 1.425000e+02 5.250000e+01 -3.463467e+03
post-recon post-recon 0 0 1.425000e+02 5.750000e+01 -7.540223e+03
post-recon post-recon 0 0 1.425000e+02 6.250000e+01 -2.885493e+04
